metric,resampling_unit,n_queries,n_clusters,max_cluster_size,mean_change,ci95_low,ci95_high,bootstrap_resamples
mean_similarity_top5,query,1821,1821,1,-0.0026662273476112017,-0.0028702910488742424,-0.0024641405820977477,20000
mean_similarity_top5,normalized_signature,1821,1684,51,-0.0026662273476112017,-0.002942138447131361,-0.0023920110308460014,20000
mean_similarity_top5,baseline_ranking,1821,848,129,-0.0026662273476112017,-0.0032900463977363396,-0.0021126753840465216,20000
mean_similarity_top5,mmr_ranking,1821,699,109,-0.0026662273476112017,-0.0033121977962125037,-0.0021172769904840142,20000
unique_model_signatures,query,1821,1821,1,0.3640856672158155,0.3399231191652938,0.3893465129049973,20000
unique_model_signatures,normalized_signature,1821,1684,51,0.3640856672158155,0.3272537780093799,0.40022873499388956,20000
unique_model_signatures,baseline_ranking,1821,848,129,0.3640856672158155,0.2720353162126527,0.46784540625674376,20000
unique_model_signatures,mmr_ranking,1821,699,109,0.3640856672158155,0.28353933056433767,0.45465219763678777,20000
intra_list_dissimilarity,query,1821,1821,1,0.10491880230642504,0.10122975739978034,0.10865890109829764,20000
intra_list_dissimilarity,normalized_signature,1821,1684,51,0.10491880230642504,0.09587861719246235,0.11261998435963276,20000
intra_list_dissimilarity,baseline_ranking,1821,848,129,0.10491880230642504,0.08725385591006062,0.12259812580857309,20000
intra_list_dissimilarity,mmr_ranking,1821,699,109,0.10491880230642504,0.08906687626548469,0.1222436616771747,20000
