method,pool_size,top_k,lambda,keep_top1,weights,n_queries,mean_similarity,top1_similarity,ild_main_weights,unique_model_signatures,unique_model_types,unique_model_approaches,queries_with_duplicate_model_signature
CBR,10,3,1.0,True,n/a,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
MMR,10,3,0.0,True,main,1821,0.5424083836719751,0.5630340472267985,0.5708893722087708,3.0,2.2828116419549698,1.8034047226798462,0
MMR,10,3,0.5,True,main,1821,0.5554416987003478,0.5630340472267985,0.5664753306230603,3.0,2.2504118616144977,1.7770455793520044,0
MMR,10,3,0.6,True,main,1821,0.5559782170968333,0.5630340472267985,0.5650645432859142,3.0,2.245469522240527,1.771554091158704,0
MMR,10,3,0.7,True,main,1821,0.5565200439319056,0.5630340472267985,0.5634084883685785,2.99780340472268,2.2377814387699067,1.7666117517847337,4
MMR,10,3,0.8,True,main,1821,0.5570175727622185,0.5630340472267985,0.5611283980573437,2.9945085118066994,2.2372322899505765,1.7649643053267436,10
MMR,10,3,0.9,True,main,1821,0.557809262310086,0.5630340472267985,0.5534962083289597,2.9923119165293794,2.203185063152114,1.7622185612300933,13
MMR,10,3,1.0,True,main,1821,0.5591288669229362,0.5630340472267985,0.4069506496009775,2.8506315211422297,1.8550247116968699,1.4514003294892917,264
CBR,10,5,1.0,True,n/a,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
MMR,10,5,0.0,True,main,1821,0.539681933003844,0.5630340472267985,0.5114728777023985,5.0,2.737506864360242,1.8764415156507412,0
MMR,10,5,0.5,True,main,1821,0.5535014827018122,0.5630340472267985,0.5057982203580252,5.0,2.7237781438769906,1.8506315211422295,0
MMR,10,5,0.6,True,main,1821,0.5542176825919825,0.5630340472267985,0.5043311120698668,5.0,2.7116968698517296,1.843492586490939,0
MMR,10,5,0.7,True,main,1821,0.5545641954969797,0.5630340472267985,0.503655603626782,4.993959362987369,2.71059857221307,1.842394288852279,11
MMR,10,5,0.8,True,main,1821,0.5549702361339923,0.5630340472267985,0.502339116076446,4.99176276771005,2.725425590334981,1.841845140032949,14
MMR,10,5,0.9,True,main,1821,0.5553569467325645,0.5630340472267985,0.49942236314665905,4.9851729818780885,2.725974739154311,1.8390993959362987,25
MMR,10,5,1.0,True,main,1821,0.5563079626578803,0.5630340472267985,0.42155414972086974,4.633168588687535,2.4162548050521693,1.6073585941790225,610
CBR,10,10,1.0,True,n/a,1821,0.5417886326194399,0.5630340472267985,0.4324850205889184,9.173531026908293,3.4200988467874796,1.899505766062603,1108
