dimension,group,n,mean_informative_fields_19,baseline_mean_similarity,mmr_mean_similarity,mean_similarity_change,baseline_mean_ild,mmr_mean_ild,mean_ild_change
actual_model,gpt-5-mini,599,8.736227045075125,0.5725866444073455,0.570673121869783,-0.0019135225375626005,0.4185556611018364,0.5163718898163607,0.09781622871452422
actual_model,gpt-5.4-mini,500,8.978,0.5578924,0.5551548000000001,-0.0027376000000000024,0.432961844,0.53320158,0.10023973600000001
actual_model,gpt-5.6-luna,722,9.808864265927978,0.5417052631578947,0.5384639889196675,-0.003241274238227146,0.4161418171745152,0.5301935484764543,0.11405173130193907
chunks,1,19,6.2631578947368425,0.6052315789473685,0.6041473684210527,-0.001084210526315781,0.4012607894736842,0.479717052631579,0.07845626315789474
chunks,3,1802,9.259156492785793,0.5557921198668146,0.5531092119866815,-0.002682907880133184,0.42176814650388456,0.5269659655937847,0.10519781908990011
retry_run_count,0,1714,9.236872812135356,0.5568666277712951,0.5542071178529755,-0.002659509918319719,0.4226416318553092,0.5272492817969662,0.10460764994165693
retry_run_count,1,90,9.566666666666666,0.5386888888888889,0.53562,-0.003068888888888889,0.4043568888888889,0.520141411111111,0.11578452222222224
retry_run_count,2,9,6.777777777777778,0.6087777777777776,0.6074888888888889,-0.0012888888888888826,0.42180788888888887,0.5097984444444444,0.08799055555555557
retry_run_count,3,8,6.25,0.5758000000000001,0.574675,-0.0011249999999999871,0.38175087500000005,0.45013899999999996,0.068388125
sanitization,False,1812,9.241721854304636,0.5562430463576159,0.5535707505518763,-0.0026722958057395136,0.42167924889624725,0.5267484613686534,0.10506921247240618
sanitization,True,9,6.444444444444445,0.5693777777777778,0.5679333333333334,-0.0014444444444444333,0.3963728888888889,0.4710091111111112,0.0746362222222222
linkage_confidence,exact_or_near_exact,1796,9.233296213808464,0.5563869710467706,0.5537130289532294,-0.0026739420935412016,0.42111563975501115,0.5263442527839644,0.10522861302895323
linkage_confidence,high,2,9.5,0.5167999999999999,0.513,-0.00379999999999997,0.4229065,0.5967565,0.17385
linkage_confidence,low,17,8.588235294117647,0.5498235294117648,0.5479529411764706,-0.0018705882352941271,0.4578883529411765,0.5286334705882352,0.0707451176470588
linkage_confidence,medium,6,9.333333333333334,0.5641999999999999,0.5619666666666666,-0.002233333333333328,0.44942516666666665,0.5354556666666667,0.0860305
