column,field,evidence_kind,bridge_default_or_weak_value,n,informative_n,informative_percent,default_or_weak_n,default_or_weak_percent
1,Reference,derived_identifier,identificador técnico asignado por el puente,1821,1821,100.0,0,0.0
2,Publication Year,source_or_default,2021,1821,648,35.584843492586494,1173,64.41515650741351
3,Task,source_or_default,One step future state forecast si falta evidencia,1821,1727,94.83800109829764,94,5.161998901702361
4,Case study,source,Not reported/Facts*,1821,1544,84.78857770455794,277,15.211422295442064
5,Case study type,source_or_generic,Maintainable item,1821,0,0.0,1821,100.0
6,Input for the model,source,Not reported/Facts*,1821,23,1.2630422844590885,1798,98.73695771554091
7,Number of input variables,derived_count,0,1821,1541,84.62383305875892,280,15.376166941241076
8,Input type,source,Not reported/Facts*,1821,1301,71.444261394838,520,28.555738605162
9,Data Pre-processing,derived_from_design_detail,no si no hay Design detail,1821,1308,71.82866556836903,513,28.17133443163097
10,Model Approach,derived_classification,derivado del número de modelos,1821,1821,100.0,0,0.0
11,Model Type,source,Not reported/Facts*,1821,1296,71.16968698517299,525,28.830313014827016
12,Models,source,Not reported/Facts*,1821,1395,76.60626029654036,426,23.393739703459637
13,Online/Off-line,source_or_default,Unknown synchronization,1821,0,0.0,1821,100.0
14,Number of failure modes,source_or_default,0,1821,0,0.0,1821,100.0
15,Performance indicator,source,Not reported,1821,0,0.0,1821,100.0
16,Performance,source,Not reported,1821,0,0.0,1821,100.0
17,Complementary notes,source_or_derived,Not reported,1821,1480,81.27402526084569,341,18.72597473915431
18,Study title,source,Untitled/Facts*,1821,873,47.940691927512354,948,52.059308072487646
19,Publication identifier,source_or_generated,URN generado,1821,26,1.4277869302580999,1795,98.5722130697419
