dimension,group,included_n,pdf_recovered_n,pdf_unavailable_n,recovery_percent
doi_prefix,10.3390,902,899,3,99.66740576496674
doi_prefix,10.1016,553,41,512,7.414104882459313
doi_prefix,10.1109,230,24,206,10.434782608695652
doi_prefix,10.1038,113,113,0,100.0
doi_prefix,10.1007,107,107,0,100.0
doi_prefix,10.1002,56,40,16,71.42857142857143
doi_prefix,10.1088,56,1,55,1.7857142857142858
doi_prefix,10.1177,51,47,4,92.15686274509804
doi_prefix,10.1049,33,11,22,33.333333333333336
doi_prefix,10.32604,29,29,0,100.0
doi_prefix,10.17531,28,28,0,100.0
doi_prefix,10.36001,28,28,0,100.0
doi_prefix,10.1080,25,20,5,80.0
doi_prefix,10.3389,20,20,0,100.0
doi_prefix,10.1371,18,18,0,100.0
doi_prefix,10.1155,17,6,11,35.294117647058826
doi_prefix,10.1186,17,17,0,100.0
doi_prefix,10.48084,17,17,0,100.0
doi_prefix,10.1063,15,0,15,0.0
doi_prefix,10.14445,15,15,0,100.0
doi_prefix,10.18280,14,14,0,100.0
doi_prefix,10.11591,13,13,0,100.0
doi_prefix,10.29354,13,13,0,100.0
doi_prefix,10.1093,10,1,9,10.0
doi_prefix,10.31449,10,10,0,100.0
open_access_route,gold,2075,1539,536,74.16867469879519
open_access_route,hybrid_gold,526,175,351,33.26996197718631
open_access_route,green,91,43,48,47.252747252747255
open_access_route,bronze,76,65,11,85.52631578947368
screening_confidence,high,2603,1713,890,65.80868228966577
screening_confidence,medium,161,107,54,66.45962732919254
screening_confidence,low,4,2,2,50.0
screening_reason,physical_asset_maintenance,2748,1808,940,65.79330422125182
screening_reason,uncertain_but_included,20,14,6,70.0
source_title,IEEE Access,166,10,156,6.024096385542169
source_title,Sensors,163,163,0,100.0
source_title,Applied Sciences (Switzerland),142,142,0,100.0
source_title,Scientific Reports,104,104,0,100.0
source_title,Energies,102,102,0,100.0
source_title,Machines,96,96,0,100.0
source_title,Results in Engineering,72,3,69,4.166666666666667
source_title,Electronics (Switzerland),63,63,0,100.0
source_title,Processes,44,44,0,100.0
source_title,Reliability Engineering and System Safety,38,6,32,15.789473684210526
source_title,Mechanical Systems and Signal Processing,32,6,26,18.75
source_title,Eksploatacja i Niezawodnosc,28,28,0,100.0
source_title,International Journal of Prognostics and Health Management,28,28,0,100.0
source_title,Measurement Science and Technology,27,0,27,0.0
source_title,Mathematics,24,24,0,100.0
source_title,Batteries,22,22,0,100.0
source_title,Measurement: Journal of the International Measurement Confederation,22,2,20,9.090909090909092
source_title,Engineering Research Express,21,1,20,4.761904761904762
source_title,Journal of Energy Storage,19,3,16,15.789473684210526
source_title,Lubricants,19,19,0,100.0
source_title,Engineering Applications of Artificial Intelligence,17,1,16,5.882352941176471
source_title,"Engineering, Technology and Applied Science Research",17,17,0,100.0
source_title,PLOS ONE,17,17,0,100.0
source_title,Sustainability (Switzerland),17,17,0,100.0
source_title,Advances in Mechanical Engineering,15,15,0,100.0
source_title,"Computers, Materials and Continua",15,15,0,100.0
source_title,Quality and Reliability Engineering International,15,15,0,100.0
source_title,AIP Advances,14,0,14,0.0
source_title,Energy Reports,14,0,14,0.0
source_title,International Journal of Electrical Power and Energy Systems,14,0,14,0.0
source_title,Diagnostyka,13,13,0,100.0
source_title,Eng,13,13,0,100.0
source_title,International Journal of Advanced Manufacturing Technology,13,13,0,100.0
source_title,Journal of Marine Science and Engineering,13,13,0,100.0
source_title,Aerospace,12,12,0,100.0
source_title,Energy and AI,12,2,10,16.666666666666668
source_title,Journal Europeen des Systemes Automatises,12,12,0,100.0
source_title,Structural Health Monitoring,12,12,0,100.0
source_title,Technologies,12,12,0,100.0
source_title,Actuators,11,11,0,100.0
source_title,Forschung im Ingenieurwesen/Engineering Research,11,11,0,100.0
source_title,IET Electric Power Applications,11,4,7,36.36363636363637
source_title,Journal of Power Sources,11,0,11,0.0
source_title,Algorithms,10,10,0,100.0
source_title,Engineering Proceedings,10,10,0,100.0
source_title,IEEE Transactions on Power Electronics,10,2,8,20.0
source_title,Symmetry,10,10,0,100.0
source_title,World Electric Vehicle Journal,10,10,0,100.0
year,2025,1831,1277,554,69.74330966684872
year,2026,937,545,392,58.16435432230523
