corpus_id,Year,Source title,Open Access,screening_confidence,screening_reason_category,pdf_recovered
paper-0001,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0003,2026,Expert Systems with Applications,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0004,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0005,2026,International Journal of Automotive and Mechanical Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0006,2026,Mechanical Systems and Signal Processing,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0007,2026,Symmetry,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0009,2026,Engineering Failure Analysis,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0012,2026,Discover Applied Sciences,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0015,2026,Metals,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0016,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0019,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0020,2026,IEEE Sensors Journal,All Open Access; Green Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0021,2026,Machines,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0023,2026,Energies,All Open Access; Gold Open Access; Green Open Access,medium,physical_asset_maintenance,True
paper-0024,2026,Algorithms,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0025,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0026,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0027,2026,"Journal of Energy Resources Technology, Part A: Sustainable and Renewable Energy",All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0028,2026,International Journal of Hydrogen Energy,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0029,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0030,2026,Mechanical Systems and Signal Processing,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0032,2026,Measurement: Journal of the International Measurement Confederation,All Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0033,2026,Railway Sciences,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,False
paper-0034,2026,Wind Energy Science,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0035,2026,International Journal of Industrial Engineering Computations,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0036,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0039,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0040,2026,Measurement Science and Technology,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0041,2026,Electric Power Systems Research,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0042,2026,Electrical Engineering and Electromechanics,All Open Access; Gold Open Access; Green Open Access,medium,uncertain_but_included,True
paper-0046,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0047,2026,PLOS ONE,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0048,2026,Energies,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0049,2026,Reliability Engineering and System Safety,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0050,2026,Results in Engineering,All Open Access; Gold Open Access,high,physical_asset_maintenance,False
paper-0051,2026,Sensors,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0052,2026,Discover Artificial Intelligence,All Open Access; Gold Open Access,high,physical_asset_maintenance,True
paper-0053,2026,Scientific Reports,All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0054,2026,Engineering Research Express,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0056,2026,Applied Sciences (Switzerland),All Open Access; Gold Open Access; Green Open Access,high,physical_asset_maintenance,True
paper-0057,2026,Electric Power Systems Research,All Open Access; Hybrid Gold Open Access,high,physical_asset_maintenance,False
paper-0058,2026,Ocean Engineering,All Open Access; Hybrid Gold Open Access,medium,physical_asset_maintenance,False
