query_index,facts_file_primary_no_default,task_primary_no_default,baseline_refs_primary_no_default,diverse_refs_primary_no_default,changed_order_primary_no_default,changed_reference_set_primary_no_default,top1_preserved_primary_no_default,baseline_top_similarity_primary_no_default,diverse_top_similarity_primary_no_default,baseline_mean_similarity_primary_no_default,diverse_mean_similarity_primary_no_default,baseline_unique_models_primary_no_default,diverse_unique_models_primary_no_default,baseline_has_duplicate_models_primary_no_default,diverse_has_duplicate_models_primary_no_default,baseline_intra_list_dissimilarity_primary_no_default,diverse_intra_list_dissimilarity_primary_no_default,facts_file_default_sync,task_default_sync,baseline_refs_default_sync,diverse_refs_default_sync,changed_order_default_sync,changed_reference_set_default_sync,top1_preserved_default_sync,baseline_top_similarity_default_sync,diverse_top_similarity_default_sync,baseline_mean_similarity_default_sync,diverse_mean_similarity_default_sync,baseline_unique_models_default_sync,diverse_unique_models_default_sync,baseline_has_duplicate_models_default_sync,diverse_has_duplicate_models_default_sync,baseline_intra_list_dissimilarity_default_sync,diverse_intra_list_dissimilarity_default_sync,facts_file_equal,task_equal,baseline_ranking_equal,baseline_top1_equal,baseline_refset_equal,baseline_top_similarity_diff_primary_minus_default,baseline_mean_similarity_diff_primary_minus_default,baseline_unique_models_diff_primary_minus_default,baseline_intra_list_dissimilarity_diff_primary_minus_default,diverse_ranking_equal,diverse_top1_equal,diverse_refset_equal,diverse_top_similarity_diff_primary_minus_default,diverse_mean_similarity_diff_primary_minus_default,diverse_unique_models_diff_primary_minus_default,diverse_intra_list_dissimilarity_diff_primary_minus_default
1,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.5621461887290472,0.5927769588210243,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_007742b6c86c.ttl,Health assessment,"31,38,239,213,221","31,213,239,221,104",True,True,True,0.645,0.645,0.645,0.645,5,5,0,0,0.5621461887290472,0.5927769588210243,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0
2,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl,Remaining useful life estimation,"234,232,233,15,14","234,122,249,128,16",True,True,True,0.521,0.521,0.521,0.521,4,5,1,0,0.3189603238866397,0.5494555202976256,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_021ea55a70f1.ttl,Remaining useful life estimation,"249,250,259,234,232","249,15,259,242,128",True,True,True,0.646,0.646,0.5923999999999999,0.5666,5,5,0,0,0.4150818713450293,0.5445805537979451,True,True,False,False,False,-0.125,-0.07139999999999991,-1.0,-0.09612154745838958,False,False,False,-0.125,-0.045599999999999974,0.0,0.004874966499680444
3,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_046ebc06c607.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.559,0.559,0.559,0.559,5,5,0,0,0.4394110275689223,0.4859203463203463,True,True,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0
4,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl,Fault identification,"210,201,202,203,48","210,48,247,212,243",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.5280894698410694,0.6597099496709253,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_051f27a6a164.ttl,Fault identification,"255,210,201,202,203","255,238,247,201,13",True,True,True,0.707,0.707,0.5886000000000001,0.5886000000000001,5,5,0,0,0.5673812731197581,0.68496389039012,True,True,False,False,False,-0.13,-0.011600000000000166,0.0,-0.03929180327868864,False,False,False,-0.13,-0.011600000000000166,0.0,-0.025253940719194623
5,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.4394110275689223,0.4859203463203463,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_08d54e2673f7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.645,0.645,0.645,0.645,5,5,0,0,0.4394110275689223,0.4859203463203463,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0
6,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl,Remaining useful life estimation,"51,53,52,55,54","51,207,204,36,55",True,True,True,0.577,0.577,0.577,0.577,4,5,1,0,0.28709160571229536,0.541168684973563,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_098cb9c7ac60.ttl,Remaining useful life estimation,"249,250,259,51,53","249,204,259,55,208",True,True,True,0.707,0.707,0.6478,0.6182000000000001,5,5,0,0,0.3493504005572971,0.5596527979358167,True,True,False,False,False,-0.13,-0.07080000000000009,-1.0,-0.06225879484500174,False,False,False,-0.13,-0.041200000000000125,0.0,-0.018484112962253718
7,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,133",True,True,True,0.707,0.707,0.707,0.707,5,5,0,0,0.34907363834422656,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0d538c41d5c9.ttl,One step future state forecast,"131,132,106,10,135","131,10,135,132,249",True,True,True,0.645,0.645,0.645,0.6314,5,5,0,0,0.34907363834422656,0.4007625272331155,True,True,True,True,True,0.061999999999999944,0.061999999999999944,0.0,0.0,False,True,False,0.061999999999999944,0.0756,0.0,-0.07222222222222224
8,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl,Fault detection,"218,245,19,166,167","218,47,200,215,19",True,True,True,0.514,0.514,0.5115999999999999,0.5098,4,5,1,0,0.5024491064491065,0.5484096941070625,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_0e5bc1020e80.ttl,Fault detection,"218,245,19,166,167","218,47,200,215,19",True,True,True,0.511,0.511,0.5092000000000001,0.5078,4,5,1,0,0.5024491064491065,0.5484096941070625,True,True,True,True,True,0.0030000000000000027,0.0023999999999998467,0.0,0.0,True,True,True,0.0030000000000000027,0.0020000000000000018,0.0,0.0
9,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl,One step future state forecast,"131,132,106,135,133","131,10,135,132,133",True,True,True,0.509,0.509,0.509,0.5075999999999999,5,5,0,0,0.29957983193277304,0.32854030501089326,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_1015dc489115.ttl,One step future state forecast,"131,132,106,135,133","131,255,10,249,135",True,True,True,0.507,0.507,0.507,0.4864,5,5,0,0,0.29957983193277304,0.4569781063609414,True,True,True,True,True,0.0020000000000000018,0.0020000000000000018,0.0,0.0,False,True,False,0.0020000000000000018,0.02119999999999994,0.0,-0.12843780135004812
10,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.577,0.577,0.577,0.577,5,5,0,0,0.4394110275689223,0.4859203463203463,extraction_papers\ontocast_runs\run_100_20260611_194110\output\facts_13663772d3a7.ttl,Fault detection,"209,42,41,44,43","209,33,34,44,41",True,True,True,0.559,0.559,0.559,0.559,5,5,0,0,0.4394110275689223,0.4859203463203463,True,True,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0,True,True,True,0.017999999999999905,0.017999999999999905,0.0,0.0
