unit,definition,n_observations,unique_patterns,singleton_patterns,max_cluster_size,median_cluster_size,mean_cluster_size,unique_percent
firma de consulta normalizada,task+case-study-type+case-study+online/offline+input-for-model+input-type normalizados,1821,1684,1665,51,1.0,1.081353919239905,92.47666117517848
ranking baseline ordenado,secuencia ordenada de referencias top-5 sin diversidad,1821,848,669,129,1.0,2.1474056603773586,46.56781987918726
conjunto baseline no ordenado,conjunto de referencias top-5 sin diversidad,1821,697,479,129,1.0,2.6126255380200862,38.275672707303684
ranking MMR lambda=0.70 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,699,472,109,1.0,2.6051502145922747,38.38550247116969
conjunto MMR lambda=0.70 no ordenado,"conjunto de referencias top-5 con MMR, top-1 fijo",1821,578,365,109,1.0,3.1505190311418687,31.74080175727622
ranking sensibilidad lambda=0.5 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,647,413,109,1.0,2.8145285935085007,35.529928610653485
ranking sensibilidad lambda=0.6 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,666,447,109,1.0,2.734234234234234,36.57331136738056
ranking sensibilidad lambda=0.7 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,699,472,109,1.0,2.6051502145922747,38.38550247116969
ranking sensibilidad lambda=0.8 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,748,529,109,1.0,2.4344919786096257,41.07633168588688
ranking sensibilidad lambda=0.9 ordenado,"secuencia ordenada de referencias top-5 con MMR, top-1 fijo",1821,822,594,109,1.0,2.2153284671532845,45.14003294892916
