lambda_relevance,task,n,mean_similarity_top5,mean_similarity_change,mean_unique_models_top5,mean_unique_models_change,queries_with_duplicate_models,mean_intra_list_dissimilarity,mean_ild_change,changed_reference_set_n,changed_order_n
0.5,Fault detection,782,0.5472347826086957,-0.0029327365728900293,5.0,0.2851662404092072,0,0.5138078150795452,0.09926795801040697,782,782
0.5,Fault feature extraction,93,0.532083870967742,-0.005683870967741937,5.0,0.25806451612903225,0,0.5994317037398055,0.10691104424467893,93,93
0.5,Fault identification,122,0.5333491803278689,-0.003006557377049196,5.0,0.3442622950819672,0,0.648772011023703,0.12701604588234022,122,122
0.5,Health assessment,303,0.5419313531353135,-0.0052191419141914205,5.0,0.36633663366336633,0,0.5954061693686157,0.10392629976191213,303,303
0.5,Health modelling,8,0.599225,-0.013124999999999998,5.0,0.5,0,0.5528772650608391,0.15257153004298443,8,8
0.5,Multiple steps future state forecast,6,0.5391,-0.000300000000000004,5.0,0.0,0,0.3945331184445555,0.06136855537760664,6,6
0.5,One step future state forecast,136,0.5947794117647058,-0.011586764705882354,5.0,0.0,0,0.3676881816998518,0.04119151741322214,136,136
0.5,Remaining useful life estimation,371,0.5660749326145552,-0.0025784366576819422,5.0,0.7115902964959568,0,0.5128834468436357,0.1476599718005433,371,371
0.6,Fault detection,782,0.5474626598465474,-0.0027048593350383655,5.0,0.2851662404092072,0,0.5130201871522565,0.09848033008311828,782,782
0.6,Fault feature extraction,93,0.5333096774193549,-0.004458064516129032,5.0,0.25806451612903225,0,0.5994916877909153,0.10697102829578876,93,93
0.6,Fault identification,122,0.5334524590163934,-0.0029032786885246045,5.0,0.3442622950819672,0,0.6485722947689023,0.1268163296275396,122,122
0.6,Health assessment,303,0.5424019801980198,-0.00474851485148515,5.0,0.36633663366336633,0,0.5949926266385176,0.10351275703181412,303,303
0.6,Health modelling,8,0.599225,-0.013124999999999998,5.0,0.5,0,0.5528772650608391,0.15257153004298443,8,8
0.6,Multiple steps future state forecast,6,0.5391,-0.000300000000000004,5.0,0.0,0,0.3945331184445555,0.06136855537760664,6,6
0.6,One step future state forecast,136,0.6050161764705881,-0.001350000000000002,5.0,0.0,0,0.3437865538648843,0.017289889578254638,136,136
0.6,Remaining useful life estimation,371,0.5662366576819408,-0.002416711590296498,5.0,0.7115902964959568,0,0.5134106410056195,0.1481871659625271,371,371
0.7,Fault detection,782,0.5478237851662404,-0.002343734015345271,4.994884910485934,0.28005115089514065,4,0.5120863851347357,0.09754652806559751,782,782
0.7,Fault feature extraction,93,0.5337397849462366,-0.00402795698924731,5.0,0.25806451612903225,0,0.5999065865050757,0.10738592700994906,93,93
0.7,Fault identification,122,0.5336524590163936,-0.0027032786885245953,5.0,0.3442622950819672,0,0.6484825425562525,0.12672657741488974,122,122
0.7,Health assessment,303,0.5426303630363036,-0.0045201320132013225,5.0,0.36633663366336633,0,0.5940956774940102,0.10261580788730665,303,303
0.7,Health modelling,8,0.6044,-0.007949999999999999,4.875,0.375,1,0.5470870590900196,0.14678132407216496,7,8
0.7,Multiple steps future state forecast,6,0.5391,-0.000300000000000004,5.0,0.0,0,0.3945331184445555,0.06136855537760664,6,6
0.7,One step future state forecast,136,0.605910294117647,-0.0004558823529411785,5.0,0.0,0,0.3410463892092785,0.014549724922648803,136,136
0.7,Remaining useful life estimation,371,0.5664404312668463,-0.0022129380053908356,5.0,0.7115902964959568,0,0.5127017527851038,0.14747827774201125,370,371
0.8,Fault detection,782,0.5483023017902814,-0.0018652173913043498,4.987212276214834,0.27237851662404094,10,0.5103030509899744,0.09576319392083608,782,782
0.8,Fault feature extraction,93,0.5353118279569893,-0.002455913978494623,5.0,0.25806451612903225,0,0.6011082279067207,0.10858756841159385,93,93
0.8,Fault identification,122,0.5338557377049181,-0.002500000000000003,5.0,0.3442622950819672,0,0.6478818911414616,0.1261259260000988,122,122
