lambda_relevance,metric_id,metric_es,family_es,n,baseline_mean,reranked_mean,mean_change,relative_change_percent,improved_n,worsened_n,tied_n,wilcoxon_n_nonzero,wilcoxon_statistic,wilcoxon_p,wilcoxon_p_text,rank_biserial,unique_models_sign_test_p,unique_models_sign_test_p_text
0.5,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,1821,0.5630340472267984,0.5630340472267984,0.0,0.0,0,0,1821,0,,,,,,
0.5,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,1821,0.5563079626578802,0.5522390993959363,-0.004068863261943889,-0.7314048216214676,0,1256,565,1256,4.0,1.9262475988591683e-207,1.93e-207,-1.0,,
0.5,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,1821,4.633168588687535,5.0,0.3668314113124653,7.91750622259096,610,0,1211,610,0.0,3.3809868129589508e-124,3.38e-124,1.0,4.706874736529071e-184,4.71e-184
0.5,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,1821,0.4215541497208697,0.5294775852964917,0.107923435575622,25.601322071454653,1706,115,0,1821,17840.0,1.9658238474424987e-286,1.97e-286,0.9784921735744283,,
0.6,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,1821,0.5630340472267984,0.5630340472267984,0.0,0.0,0,0,1821,0,,,,,,
0.6,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,1821,0.5563079626578802,0.5532822624931356,-0.0030257001647445714,-0.5438894223783247,0,1226,595,1226,7.5,1.0373502024592632e-202,1.04e-202,-1.0,,
0.6,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,1821,4.633168588687535,5.0,0.3668314113124653,7.91750622259096,610,0,1211,610,0.0,3.3809868129589508e-124,3.38e-124,1.0,4.706874736529071e-184,4.71e-184
0.6,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,1821,0.4215541497208697,0.5273825563540692,0.10582840663319948,25.10434465021239,1707,113,1,1820,18279.0,5.895853739097083e-286,5.90e-286,0.977938700508717,,
0.7,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,1821,0.5630340472267984,0.5630340472267984,0.0,0.0,0,0,1821,0,,,,,,
0.7,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,1821,0.5563079626578802,0.5536417353102691,-0.0026662273476111276,-0.479271829019426,0,1193,628,1193,14.0,1.194520504888826e-197,1.19e-197,-1.0,,
0.7,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,1821,4.633168588687535,4.99725425590335,0.36408566721581526,7.858243451463785,605,0,1216,605,0.0,3.9924883044479e-123,3.99e-123,1.0,1.5061999156893026e-182,1.51e-182
0.7,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,1821,0.4215541497208697,0.526472971220212,0.10491882149934229,24.888575185136677,1707,112,2,1819,18041.0,5.933318124466069e-286,5.93e-286,0.9782020068990932,,
0.8,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,1821,0.5630340472267984,0.5630340472267984,0.0,0.0,0,0,1821,0,,,,,,
0.8,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,1821,0.5563079626578802,0.5542945634266886,-0.0020133992311915927,-0.3619216991919633,0,1165,656,1165,9.0,6.263521062741363e-193,6.26e-193,-1.0,,
0.8,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,1821,4.633168588687535,4.99176276771005,0.3585941790225151,7.739717909209435,596,0,1225,596,0.0,2.412952490860756e-121,2.41e-121,1.0,7.71174356832923e-180,7.71e-180
0.8,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,1821,0.4215541497208697,0.5247859182733485,0.10323176855247884,24.48837678880242,1706,112,3,1818,19250.0,4.169370177857441e-285,4.17e-285,0.9768511210659274,,
0.9,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,1821,0.5630340472267984,0.5630340472267984,0.0,0.0,0,0,1821,0,,,,,,
0.9,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,1821,0.5563079626578802,0.5549440966501923,-0.0013638660076878972,-0.24516384794705,0,1104,717,1104,42.0,6.215231140772777e-184,6.22e-184,-1.0,,
0.9,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,1821,4.633168588687535,4.985722130697419,0.3525535420098844,7.609339812729638,586,0,1235,586,0.0,2.3896613555175558e-119,2.39e-119,1.0,7.896825413969131e-177,7.90e-177
0.9,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,1821,0.4215541497208697,0.5201233139932757,0.09856916427240603,23.382325695921434,1686,112,23,1798,20356.0,1.3316394427869609e-281,1.33e-281,0.9755246549652786,,
