task,metric_id,metric_es,family_es,higher_is_better,n,baseline_mean,baseline_sd,baseline_median,baseline_q1,baseline_q3,diverse_mean,diverse_sd,diverse_median,diverse_q1,diverse_q3,mean_change,median_change,relative_change_percent,improved_n,worsened_n,tied_n,wilcoxon_n_nonzero,wilcoxon_statistic,wilcoxon_p,wilcoxon_p_text,rank_biserial,unique_models_sign_test_p,unique_models_sign_test_p_text,ci95_mean_change_low,ci95_mean_change_high,ci95_relative_change_percent_low,ci95_relative_change_percent_high
Fault detection,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,782,0.556272378516624,0.053853228995192605,0.5295000000000001,0.517,0.58775,0.556272378516624,0.053853228995192605,0.5295000000000001,0.517,0.58775,0.0,0.0,0.0,0,0,782,0,,,,,,,0.0,0.0,0.0,0.0
Fault detection,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,782,0.5501675191815857,0.05212838301966433,0.5226,0.5134000000000001,0.5785,0.5478237851662404,0.05217436340450829,0.5195000000000001,0.5109999999999999,0.577,-0.002343734015345267,-0.0012000000000000899,-0.4260037049863907,0,522,260,522,7.5,7.378726456171853e-88,7.38e-88,-1.0,,,-0.0026227621483375955,-0.0020820971867007675,-0.476853978527153,-0.3784731067452216
Fault detection,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,782,4.7148337595907925,0.5002021721721833,5.0,4.0,5.0,4.994884910485934,0.07138235974593797,5.0,5.0,5.0,0.2800511508951411,0.0,5.9397884458909775,201,0,581,201,0.0,2.3910105018478373e-42,2.39e-42,1.0,6.223015277861142e-61,6.22e-61,0.24552429667519182,0.31585677749360613,5.171020737947751,6.748633879781421
Fault detection,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,782,0.41453985706913826,0.08158105176837062,0.4374356368563685,0.3484935897435897,0.47015993051663785,0.5120863851347357,0.07628200264057426,0.49655333701386334,0.469530237413421,0.579756756702633,0.09754652806559744,0.07378798452296526,23.53127845299766,744,38,0,782,2391.0,8.891789716633817e-126,8.89e-126,0.9843803588401877,,,0.09228072782461456,0.10288110784677314,22.07837825606635,25.029680297602514
Fault feature extraction,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,93,0.5508172043010753,0.05591393740783184,0.527,0.515,0.574,0.5508172043010753,0.05591393740783184,0.527,0.515,0.574,0.0,0.0,0.0,0,0,93,0,,,,,,,0.0,0.0,0.0,0.0
Fault feature extraction,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,93,0.5377677419354838,0.04388990465602867,0.5156000000000001,0.5112000000000001,0.5502,0.5337397849462366,0.044225428303736075,0.512,0.5082,0.5354000000000001,-0.004027956989247183,-0.0031999999999998696,-0.7490142444673483,0,85,8,85,0.0,1.1580041359267066e-15,1.16e-15,-1.0,,,-0.004776397849462374,-0.0033311827956989232,-0.8894439213485525,-0.6182635874350684
Fault feature extraction,unique_models_top5,modelos únicos en el top-5,diversidad algorítmica,True,93,4.741935483870968,0.4399413450640598,5.0,4.0,5.0,5.0,0.0,5.0,5.0,5.0,0.25806451612903203,0.0,5.442176870748295,24,0,69,24,0.0,9.633570086430965e-07,9.63e-07,1.0,1.1920928955078125e-07,1.19e-07,0.17204301075268819,0.34408602150537637,3.5634743875278394,7.390300230946882
Fault feature extraction,intra_list_dissimilarity,disimilitud intra-lista (ILD) algorítmica,diversidad algorítmica,True,93,0.49252065949512686,0.052711415953200697,0.5082912353347135,0.4459120955873182,0.5414745524541229,0.5999065865050757,0.005696722299621773,0.599411467177837,0.5967863247863248,0.605755152478044,0.10738592700994881,0.09398715294367477,21.803334528145072,91,2,0,93,5.0,6.48085742408474e-17,6.48e-17,0.9977121940059483,,,0.09692731424063401,0.11791803071396087,19.266471456026213,24.476252814414096
Fault identification,top_similarity,similitud algorítmica del primer resultado,relevancia algorítmica,True,122,0.5460819672131146,0.04527831111310484,0.527,0.517,0.559,0.5460819672131146,0.04527831111310484,0.527,0.517,0.559,0.0,0.0,0.0,0,0,122,0,,,,,,,0.0,0.0,0.0,0.0
Fault identification,mean_similarity_top5,similitud algorítmica media del top-5,relevancia algorítmica,True,122,0.5363557377049181,0.04385604936585394,0.5182,0.5134500000000001,0.529,0.5336524590163936,0.04404126392132225,0.5152,0.5104,0.52505,-0.002703278688524491,-0.0023999999999999577,-0.5040085336071727,0,104,18,104,0.0,8.448215199316829e-19,8.45e-19,-1.0,,,-0.0031213114754098407,-0.0023032377049180324,-0.5826054257193591,-0.4284814381959662
