method,pattern_ordered_refs,count
baseline,"42,41,44,43,46",129
baseline,"209,42,41,44,43",109
baseline,"131,132,106,10,135",65
baseline,"51,53,52,55,54",60
baseline,"31,38,239,213,221",44
baseline,"234,232,233,15,14",36
baseline,"35,37,36,28,30",34
baseline,"131,132,135,133,134",24
baseline,"106,10,131,132,135",22
baseline,"98,42,41,44,43",20
baseline,"181,234,232,233,15",17
baseline,"215,42,41,44,43",17
baseline,"210,201,202,203,48",16
baseline,"31,38,104,227,73",12
baseline,"22,21,24,23,26",11
baseline,"200,166,167,98,230",11
baseline,"252,203,189,243,244",11
baseline,"10,106,131,132,135",10
baseline,"166,167,98,42,41",10
baseline,"32,253,198,17,70",10
mmr_lambda_0.70_existing,"209,33,34,44,41",109
mmr_lambda_0.70_existing,"131,10,135,132,133",89
mmr_lambda_0.70_existing,"51,207,204,36,55",54
mmr_lambda_0.70_existing,"31,213,239,221,104",47
mmr_lambda_0.70_existing,"234,122,249,128,16",36
mmr_lambda_0.70_existing,"35,36,115,37,30",34
mmr_lambda_0.70_existing,"42,34,44,41,29",33
mmr_lambda_0.70_existing,"106,132,135,10,134",31
mmr_lambda_0.70_existing,"32,190,229,198,235",21
mmr_lambda_0.70_existing,"213,173,221,193,104",20
mmr_lambda_0.70_existing,"210,48,247,212,243",17
mmr_lambda_0.70_existing,"181,249,233,128,122",17
mmr_lambda_0.70_existing,"239,104,7,31,221",16
mmr_lambda_0.70_existing,"10,134,132,106,135",15
mmr_lambda_0.70_existing,"31,213,239,104,221",15
mmr_lambda_0.70_existing,"31,213,193,104,221",15
mmr_lambda_0.70_existing,"188,227,104,193,38",14
mmr_lambda_0.70_existing,"32,190,198,229,235",14
mmr_lambda_0.70_existing,"98,42,44,72,34",13
mmr_lambda_0.70_existing,"70,190,229,198,235",12
sensitivity_lambda_0.5,"209,33,34,44,41",109
sensitivity_lambda_0.5,"131,10,135,132,133",83
sensitivity_lambda_0.5,"51,207,204,36,55",54
sensitivity_lambda_0.5,"31,213,239,221,104",47
sensitivity_lambda_0.5,"234,122,249,128,16",36
sensitivity_lambda_0.5,"32,190,229,198,235",36
sensitivity_lambda_0.5,"35,36,115,37,30",34
sensitivity_lambda_0.5,"213,173,221,193,104",22
sensitivity_lambda_0.5,"42,34,44,41,98",21
sensitivity_lambda_0.5,"106,132,135,10,134",20
sensitivity_lambda_0.6,"209,33,34,44,41",109
sensitivity_lambda_0.6,"131,10,135,132,133",89
sensitivity_lambda_0.6,"51,207,204,36,55",54
sensitivity_lambda_0.6,"31,213,239,221,104",47
sensitivity_lambda_0.6,"234,122,249,128,16",36
sensitivity_lambda_0.6,"35,36,115,37,30",34
sensitivity_lambda_0.6,"32,190,229,198,235",33
sensitivity_lambda_0.6,"106,132,135,10,134",30
sensitivity_lambda_0.6,"42,34,44,41,98",21
sensitivity_lambda_0.6,"213,173,221,193,104",21
sensitivity_lambda_0.7,"209,33,34,44,41",109
sensitivity_lambda_0.7,"131,10,135,132,133",89
sensitivity_lambda_0.7,"51,207,204,36,55",54
sensitivity_lambda_0.7,"31,213,239,221,104",47
sensitivity_lambda_0.7,"234,122,249,128,16",36
sensitivity_lambda_0.7,"35,36,115,37,30",34
sensitivity_lambda_0.7,"42,34,44,41,29",33
sensitivity_lambda_0.7,"106,132,135,10,134",31
sensitivity_lambda_0.7,"32,190,229,198,235",21
sensitivity_lambda_0.7,"213,173,221,193,104",20
sensitivity_lambda_0.8,"209,33,34,44,41",109
sensitivity_lambda_0.8,"131,10,135,132,133",89
sensitivity_lambda_0.8,"51,207,204,36,55",54
sensitivity_lambda_0.8,"31,213,239,221,104",46
sensitivity_lambda_0.8,"42,34,44,41,29",37
sensitivity_lambda_0.8,"234,122,249,128,16",36
sensitivity_lambda_0.8,"35,36,115,37,30",34
sensitivity_lambda_0.8,"106,132,135,10,134",31
sensitivity_lambda_0.8,"32,190,229,198,235",20
sensitivity_lambda_0.8,"31,213,193,104,221",20
sensitivity_lambda_0.9,"209,33,34,44,41",109
sensitivity_lambda_0.9,"131,10,135,132,133",88
sensitivity_lambda_0.9,"42,34,44,41,29",55
sensitivity_lambda_0.9,"51,207,204,36,55",54
sensitivity_lambda_0.9,"31,213,239,221,104",45
sensitivity_lambda_0.9,"234,122,249,128,16",36
sensitivity_lambda_0.9,"35,36,115,37,30",34
sensitivity_lambda_0.9,"106,132,135,10,134",27
sensitivity_lambda_0.9,"32,198,253,229,190",19
sensitivity_lambda_0.9,"31,104,38,188,239",18
